 X_force  Z_force     lambda  Y_force    time(sec)
  2.0357   0.8470  339.16765   4.0651  10870.75391
  1.8577   0.8035  339.40250   4.2519  10870.75391
  2.1718   0.7803  339.29005   4.3075  10870.75586
  2.1980   0.7716  339.23670   4.2115  10870.75586
  1.9833   0.7542  339.62095   4.2418  10870.75781
  1.9467   0.7803  339.19535   4.1812  10870.75781
  1.3708   0.7397  339.63560   4.1913  10870.75977
  1.1353   0.7368  339.52130   4.2469  10870.75977
  1.3394   0.7397  338.98870   4.1610  10870.76172
  0.8840   0.7774  339.14950   4.1661  10870.76172
  0.7531   0.7571  339.00025   4.1981  10870.76367
  0.3413   0.7532  339.24575   4.1442  10870.76465
  0.5228   0.7725  339.18315   4.1913  10870.76562
  1.1719   0.6643  339.08105   4.2923  10870.76562
  1.1928   0.6324  339.25755   4.3832  10870.76758
  1.2975   0.6759  339.72070   4.3731  10870.76758
  1.0044   0.6875  339.27120   4.2317  10870.76855
  1.1370   0.7339  339.39375   4.2182  10870.76953
  0.9834   0.6179  338.97805   4.4472  10870.77051
  0.3273   0.5057  339.46695   4.7434  10870.77148
  0.5018   0.4294  339.20920   4.8226  10870.77344
  0.7845   0.3888  339.30925   4.7923  10870.77344
  0.9573   0.4584  339.24380   4.6610  10870.77539
  0.8264   0.4120  339.46160   4.6408  10870.77539
  0.7688   0.4700  339.37925   4.4893  10870.77734
  0.9834   0.4709  339.45685   4.4808  10870.77734
  1.0393   0.6488  339.30905   4.4202  10870.78027
  0.7740   0.4864  339.47360   4.4472  10870.78125
  1.0463   0.5222  339.11830   4.4388  10870.78320
  1.2504   0.4497  339.31485   4.5448  10870.78320
  0.7269   0.4178  339.10875   4.5852  10870.78516
  1.2347   0.5570  339.32350   4.3580  10870.78516
  0.9573   0.5686  339.13400   4.4236  10870.78711
  1.0934   0.6846  339.47630   4.3580  10870.78711
  0.9101   0.7397  339.61220   4.3024  10870.78906
  1.0253   0.6411  339.35770   4.6559  10870.79102
  0.9049   0.5164  339.62845   4.6761  10870.79199
  0.6955   0.5483  339.21690   4.6559  10870.79199
  0.6798   0.6324  339.45230   4.5802  10870.79297
  0.7845   0.4990  339.48660   4.7317  10870.79492
  1.1353   0.3917  339.55095   4.8175  10870.79590
  0.9573   0.4149  339.81280   4.5903  10870.79590
  0.8020   0.4709  339.47740   4.6020  10870.79688
  0.7810   0.5212  339.70360   4.7098  10870.79785
  0.9416   0.4555  339.46725   4.7165  10870.79883
  0.7217   0.4961  339.82355   4.6559  10870.80078
  1.0044   0.5570  339.80395   4.6206  10870.80078
  1.0724   0.4062  339.38965   4.7721  10870.80273
  0.6973   0.2119  339.28600   4.9993  10870.80371
  1.1161   0.3279  339.34315   4.8714  10870.80371
  0.8229   0.5096  339.77250   4.7232  10870.80469
  0.5577   0.5521  339.76860   4.6896  10870.80566
 -0.2049   0.5599  339.63545   4.7620  10870.80762
 -0.2991   0.4700  339.29805   4.7872  10870.80762
  0.3552   0.5251  339.63340   4.6963  10870.80957
  0.5437   0.5135  339.37800   4.6761  10870.81055
  0.4111   0.4748  339.20990   4.7502  10870.81152
  0.0342   0.3201  339.50160   4.8444  10870.81152
  0.1458   0.3859  339.30715   4.7771  10870.81250
  0.2401   0.4352  339.29985   4.8024  10870.81445
 -0.0374   0.3250  339.37640   4.9387  10870.81543
  0.5699   0.3337  339.27145   4.8933  10870.81543
  0.6693   0.3946  339.50255   4.8074  10870.81641
  0.8212   0.3337  339.43580   4.8024  10870.81836
  1.0620   0.3134  339.16145   4.7569  10870.81934
  0.9206   0.4439  339.09000   4.7367  10870.81934
  1.4022   0.4323  339.73900   4.7367  10870.82129
  1.6273   0.5918  339.33205   4.5953  10870.82227
  1.0201   0.5048  339.33565   4.7064  10870.82324
  0.7688   0.5541  339.44275   4.6357  10870.82324
  0.6641   0.6034  339.60545   4.5701  10870.82422
  0.1354   0.5860  339.99440   4.6660  10870.82617
  0.6798   0.6846  339.76720   4.6054  10870.82715
  0.8159   0.6237  339.34145   4.6761  10870.82812
  0.5228   0.5792  339.36015   4.6896  10870.82910
  0.5437   0.5599  339.72595   4.6559  10870.83008
  0.3238   0.5251  339.73955   4.7872  10870.83203
  0.2401   0.5483  339.89635   4.7266  10870.83203
  0.3657   0.4555  339.63540   4.8731  10870.83398
  0.2401   0.4236  339.90660   4.8781  10870.83398
  0.5786   0.4400  339.53105   4.7973  10870.83594
  0.4948   0.2892  339.65090   4.8983  10870.83594
  0.3343   0.2041  340.00610   4.9656  10870.83789
  0.6973   0.3317  339.64445   4.8579  10870.83887
  0.5385   0.3018  339.46120   4.9337  10870.83984
  0.6693   0.4381  339.21780   4.8074  10870.83984
  0.3762   0.5135  338.97130   4.7569  10870.84180
  0.3343   0.4671  339.47210   4.7822  10870.84180
  0.4442   0.4961  339.57730   4.7064  10870.84375
 -0.0950   0.4033  339.41295   4.7923  10870.84375
  0.3552   0.4787  339.60230   4.7620  10870.84570
  0.3343   0.4990  339.86625   4.7468  10870.84570
  0.2645   0.4361  339.66060   4.8579  10870.84668
  0.7740   0.3975  339.59690   4.8377  10870.84863
  0.9136   0.3627  339.91235   4.8849  10870.84863
  0.9206   0.3743  340.00210   4.8680  10870.84961
  0.4599   0.4787  340.40735   4.7569  10870.85156
  1.1300   0.4207  339.68620   4.7973  10870.85254
  0.8927   0.3704  339.49570   4.8781  10870.85254
  0.9904   0.3743  339.54505   4.8714  10870.85449
  0.6013   0.3511  340.01605   4.9387  10870.85547
  0.5385   0.3888  339.67500   4.8478  10870.85547
  0.5646   0.4062  339.72665   4.8226  10870.85742
  0.3134   0.4178  339.97935   4.7317  10870.85742
 -0.0583   0.3047  339.95015   4.9084  10870.85938
  0.4652   0.2177  339.86025   4.9185  10870.85938
  0.5960   0.2235  340.00530   4.9791  10870.86133
  0.1144   0.3511  339.76145   4.8680  10870.86133
  0.1406   0.4555  339.99870   4.7620  10870.86328
 -0.0112   0.3163  339.90285   4.8731  10870.86328
 -0.2660   0.2853  340.17645   4.9320  10870.86621
  0.0062   0.2931  339.77775   4.9791  10870.86621
  0.8438   0.3472  339.81400   4.8310  10870.86719
  0.7252   0.2660  339.89525   4.9522  10870.86816
  0.7531   0.5019  339.70345   4.7973  10870.87012
  0.4390   0.4729  339.86850   4.7620  10870.87012
  0.9834   0.5367  339.67205   4.7569  10870.87207
  0.4181   0.4787  339.70040   4.7771  10870.87305
  0.5437   0.5405  339.75270   4.7838  10870.87402
  0.2296   0.5947  339.96595   4.7906  10870.87402
  0.4669   0.5521  339.99825   4.7704  10870.87500
  0.5228   0.4613  339.76660   4.7973  10870.87695
  0.9573   0.4584  339.49615   4.7822  10870.87793
  0.7112   0.4236  339.73190   4.8125  10870.87793
  0.8997   0.4149  339.63740   4.7923  10870.87891
  1.0148   0.4555  339.88835   4.7822  10870.88086
  0.8997   0.5019  339.36580   4.8175  10870.88086
  0.7007   0.3685  340.04165   4.8478  10870.88281
  0.4966   0.4584  339.95655   4.7670  10870.88281
  0.6850   0.4903  339.51700   4.7115  10870.88477
  1.1038   0.4874  339.70515   4.6610  10870.88574
  1.0515   0.6324  339.66750   4.5751  10870.88574
  0.5908   0.5947  339.32745   4.7317  10870.88672
  0.6065   0.6295  339.33110   4.7030  10870.88770
  0.9206   0.6295  339.60165   4.6020  10870.88965
  0.4739   0.5328  339.57730   4.7434  10870.88965
  0.3448   0.4845  339.69535   4.7771  10870.89062
  0.8787   0.4207  339.36380   4.8175  10870.89160
  1.4232   0.5135  340.06055   4.6963  10870.89355
  1.2400   0.5396  339.49285   4.6711  10870.89355
  1.0672   0.6092  339.46150   4.6256  10870.89453
  0.2872   0.5802  339.36650   4.6509  10870.89648
  0.0987   0.4207  339.65765   4.7822  10870.89746
  0.1406   0.4468  339.37065   4.7519  10870.89746
 -0.1473   0.4439  339.56910   4.7771  10870.89844
  0.6379   0.4729  339.49505   4.7872  10870.90039
  0.8369   0.3897  339.48345   4.8512  10870.90137
  0.7112   0.3859  339.40035   4.8377  10870.90137
  0.6589   0.4497  339.21830   4.7569  10870.90332
  0.4233   0.4265  339.56030   4.8226  10870.90430
 -0.2520   0.5193  339.54890   4.7771  10870.90625
 -0.0112   0.4816  339.67045   4.8074  10870.90625
  0.0516   0.4961  339.17345   4.7620  10870.90820
  0.5280   0.5396  339.49895   4.7266  10870.90820
  0.6414   0.5019  339.55480   4.8175  10870.91016
  0.4599   0.5173  339.61970   4.7502  10870.91016
  0.6554   0.4632  339.71530   4.7502  10870.91211
  0.8159   0.4207  339.93630   4.8074  10870.91211
  1.0881   0.3627  340.01585   4.8579  10870.91406
  0.7810   0.3279  339.66830   4.9387  10870.91406
  0.6850   0.4410  339.65720   4.8074  10870.91602
  0.8421   0.4990  339.53380   4.7569  10870.91602
  1.0515   0.4758  339.69005   4.6408  10870.91797
  0.5280   0.4642  339.55750   4.7569  10870.91797
  0.4076   0.4671  339.47635   4.7468  10870.91992
  0.3971   0.5309  339.80695   4.7216  10870.91992
  0.3134   0.4816  339.71155   4.7317  10870.92188
  0.0830   0.3743  339.37275   4.7973  10870.92188
  0.1563   0.4845  339.25260   4.8377  10870.92383
  0.5856   0.4758  339.55440   4.7367  10870.92383
  0.7426   0.4294  339.46165   4.7721  10870.92578
  0.5751   0.4642  339.22355   4.7923  10870.92578
  0.8212   0.4265  339.25245   4.8226  10870.92773
  1.1300   0.3888  339.61765   4.8175  10870.92773
  0.8299   0.3781  339.44940   4.8242  10870.92969
  0.8787   0.3549  339.10075   4.8983  10870.92969
  1.0672   0.3820  339.50265   4.8108  10870.93164
  0.8369   0.2409  339.66345   4.9690  10870.93164
  1.6116   0.4207  338.97455   4.6761  10870.93359
  1.2975   0.4671  340.00255   4.5347  10870.93457
  1.2836   0.5251  339.37755   4.5482  10870.93457
  1.1859   0.5135  339.81640   4.5213  10870.93652
  1.1667   0.4961  339.74260   4.5145  10870.93750
  0.8054   0.4903  339.57455   4.5802  10870.93750
  0.5437   0.4874  339.74305   4.6155  10870.93945
 -0.0164   0.5396  339.35960   4.5852  10870.93945
  0.7845   0.5715  339.70865   4.4236  10870.94141
  0.9101   0.6237  339.73040   4.3176  10870.94141
  0.8369   0.7223  339.75925   4.2519  10870.94336
