 X_force  Z_force     lambda  Y_force    time(sec)
  1.2557   0.9311  295.54965   3.8277  11028.66602
  1.0393   0.9311  295.84745   3.8479  11028.66699
  0.9834   0.9543  295.53965   3.8277  11028.66699
  0.6798   0.7629  295.64235   4.0600  11028.66797
  1.2975   0.9427  295.45545   3.8883  11028.66992
  0.7391   0.8731  295.76210   4.0634  11028.67090
  0.9625   0.8963  295.75805   3.9624  11028.67188
  0.8316   0.7745  295.84000   4.1004  11028.67188
  0.9677   0.8180  295.80095   4.0398  11028.67480
  1.1667   0.7542  295.66745   4.1610  11028.67480
  1.0253   0.8238  295.66250   4.0499  11028.67578
  1.3080   0.8702  295.75180   3.9893  11028.67773
  1.5959   0.9978  295.75760   3.8479  11028.67773
  0.9416   0.9543  295.79375   3.7671  11028.67871
  0.5542   0.8209  295.70080   4.1307  11028.67969
  0.7269   0.7948  295.64940   4.0247  11028.68164
  0.9782   0.7078  295.45910   4.2014  11028.68262
  0.6693   0.6614  295.52895   4.2368  11028.68262
  0.1772   0.7252  295.87420   4.2368  11028.68359
  0.1615   0.7310  295.44090   4.1913  11028.68555
  0.2453   0.7223  295.95130   4.1762  11028.68555
  0.9834   0.6121  295.79355   4.3479  11028.68750
  1.1859   0.6217  295.81110   4.2385  11028.68750
  0.6746   0.9688  295.67780   3.9439  11028.69043
  0.8683   1.0181  295.67075   3.8176  11028.69141
  0.6135   1.0393  295.89825   3.8277  11028.69238
  0.3064   1.0123  295.91490   3.8614  11028.69238
  0.9067   1.1089  295.94620   3.7133  11028.69531
  1.2208   1.1205  295.74385   3.7536  11028.69531
  1.0323   1.1824  295.75220   3.7133  11028.69629
  0.7897   1.1863  295.71995   3.7116  11028.69824
  1.0148   1.1341  295.83830   3.6661  11028.69824
  0.5228   1.1283  295.79665   3.6257  11028.69922
  0.5437   1.0587  296.21990   3.8176  11028.70117
  0.8421   1.0036  295.83485   3.8631  11028.70117
  1.0201   1.0442  295.94490   3.7722  11028.70312
  0.8787   1.0877  295.80640   3.7217  11028.70312
  0.4338   1.0616  295.67240   3.7015  11028.70508
  0.4652   0.8992  295.68130   3.9186  11028.70605
  0.8229   0.8924  295.74420   3.9557  11028.70703
  0.7531   0.8731  295.37975   3.9624  11028.70703
  0.4809   0.8615  295.34475   4.0297  11028.70801
  0.7897   0.9340  295.93395   3.9641  11028.71094
  1.0986   0.9572  295.56120   3.8782  11028.71387
  0.9259   0.8354  295.66100   4.0651  11028.71387
  1.2975   0.7184  295.68585   4.1576  11028.71484
  1.1440   0.7029  295.72135   4.1846  11028.71582
  0.4390   0.7609  295.63360   4.0903  11028.71777
  0.9555   0.7764  295.89555   4.0499  11028.71777
  0.9834   0.6333  295.66635   4.2115  11028.71875
  1.9467   0.7687  296.20820   3.8883  11028.71973
  1.4755   0.7629  295.55735   4.0297  11028.72168
  1.3185   0.8228  295.72835   4.0499  11028.72168
  1.1998   0.8963  295.62475   3.9422  11028.72266
  1.1457   0.8267  295.65865   4.0146  11028.72461
  1.1876   0.9108  295.85380   4.0600  11028.72559
  1.1143   0.8876  295.85150   3.9439  11028.72559
  0.8473   0.7629  295.82045   4.0903  11028.72656
  1.3918   0.7774  295.87950   4.0853  11028.72852
  1.5000   0.9697  295.65635   3.8951  11028.72949
  1.2347   0.9543  295.85285   3.7873  11028.72949
  1.3604   0.9852  295.65355   3.9624  11028.73047
  1.8158   0.9456  295.63580   3.9388  11028.73242
  1.4755   0.8557  295.71595   4.0196  11028.73340
  1.1091   0.6382  295.77925   4.2115  11028.73340
  0.8107   0.7310  295.69160   4.1661  11028.73438
  0.6955   0.9079  295.86485   3.9085  11028.73633
  0.3291   1.0297  295.68260   3.8277  11028.73730
  0.4460   0.9581  295.62485   3.9220  11028.73730
  0.6903   0.9813  295.61255   3.8479  11028.73828
  1.0672   1.0355  296.55835   3.7873  11028.73926
  0.8578   0.9891  296.27335   3.8277  11028.74121
  1.4336   0.9485  295.70195   3.8277  11028.74219
  1.4162   0.8924  295.63280   3.8681  11028.74219
  1.1998   0.7571  295.69020   4.1038  11028.74316
  1.0253   0.7416  295.38385   4.0432  11028.74512
  0.8944   0.7948  295.44890   4.0903  11028.74512
  1.0986   0.8760  295.55390   4.0196  11028.74609
  1.2818   0.9717  295.53815   3.7873  11028.74805
  1.2138   0.9166  295.76240   3.9287  11028.74902
  0.6484   0.7687  295.55925   4.0836  11028.74902
  1.3394   0.6295  295.74115   4.1307  11028.75098
  1.5907   0.8731  295.69165   3.9624  11028.75293
  1.5698   0.8441  295.56300   3.8782  11028.75293
  1.1667   1.0181  295.32530   3.7722  11028.75391
  1.6273   1.0906  295.66610   3.7722  11028.75586
  1.1719   1.0819  295.58950   3.7570  11028.75586
  1.5907   1.1399  295.62320   3.7065  11028.75781
  1.8001   1.1138  295.68100   3.7671  11028.75781
  0.7322   1.0007  295.70565   3.7806  11028.76074
